FlightID,Date,Route,Airline,AircraftType,FlightDuration,DepartureTime,Passengers,WeatherCondition,FlightClass,TicketType,DestinationRegion,LoyaltyProgram,MaintenanceIssues,CrewSatisfaction,CustomerSatisfaction,Weekday,PeakSeason,DelayMinutes,OnTimeArrival,FuelCost
FLT00011,2023-04-12,Chicago to Los Angeles,SkyTrack Airways,Boeing 777,274,17,154.2,Snow,Economy,Refundable,International,1,1,8.529279381941718,8.199504161340418,Wednesday,0,17,No,1130.91
FLT00012,2022-08-03,Paris to Rome,Sunshine Air,Boeing 787,691,15,73.8,Snow,Economy,Non-refundable,Regional,0,3,7.483979958889053,6.960202630602129,Wednesday,0,4,Yes,2128.24
FLT00013,2022-11-27,New York to London,SkyTrack Airways,Airbus A320,626,8,36.0,Clear,Economy,Non-refundable,International,0,1,6.849870160747035,3.4526498771898355,Sunday,0,39,No,2030.13
FLT00014,2023-04-04,San Francisco to Tokyo,Global Wings,Boeing 737,86,14,201.6,Fog,Business,Non-refundable,International,0,2,8.0277736511221,6.777464262768898,Tuesday,0,49,No,695.18
FLT00015,2022-03-29,Berlin to Madrid,Global Wings,Boeing 737,689,9,183.0,Rain,First,Refundable,Regional,0,4,9.72786225491595,6.4760598729259575,Tuesday,0,1,Yes,1919.38
FLT00016,2023-01-08,Paris to Rome,Global Wings,Boeing 777,792,21,36.6,Clear,Business,Refundable,Domestic,0,2,6.597132741297725,6.2787634334909175,Sunday,0,44,No,2507.69
FLT00017,2022-04-10,Chicago to Los Angeles,BlueJet Airlines,Airbus A380,290,15,76.2,Rain,Economy,Non-refundable,International,0,4,8.647396601269278,5.715456456029466,Sunday,0,62,No,1307.36
FLT00018,2024-05-21,Paris to Rome,BlueJet Airlines,Boeing 777,624,3,132.6,Rain,Economy,Non-refundable,Domestic,0,4,6.978116978048687,5.420029359036947,Tuesday,0,49,No,2206.91
FLT00019,2023-10-26,Toronto to Vancouver,Sunshine Air,Airbus A320,866,19,87.0,Snow,Economy,Non-refundable,Regional,1,1,8.133942130370402,9.060193379463358,Thursday,0,2,Yes,2659.92
FLT00020,2022-05-11,New York to London,Sunshine Air,Boeing 787,380,12,213.0,Fog,First,Refundable,Regional,0,1,7.321042471816513,6.174002761057525,Wednesday,0,7,Yes,1234.61
FLT00021,2023-10-24,Toronto to Vancouver,SkyTrack Airways,Boeing 787,292,21,193.2,Fog,Economy,Refundable,International,0,3,8.587508317554951,5.448752298281989,Tuesday,0,13,Yes,1313.71
FLT00022,2022-11-05,Berlin to Madrid,SkyTrack Airways,Boeing 737,729,4,136.79999999999998,Snow,Economy,Non-refundable,International,0,0,7.829261483871902,8.14662742505178,Saturday,0,48,No,2329.73
FLT00023,2024-02-09,Mumbai to Dubai,BlueJet Airlines,Boeing 737,496,21,67.8,Rain,First,Non-refundable,Regional,0,2,7.686809229307948,6.846759593686861,Friday,0,32,No,1815.32
FLT00024,2022-12-10,San Francisco to Tokyo,Global Wings,Airbus A380,840,6,108.6,Clear,First,Non-refundable,International,1,3,8.428274169653008,5.512931848821191,Saturday,1,0,Yes,2610.93
FLT00025,2023-05-07,Mexico City to Lima,BlueJet Airlines,Boeing 787,592,22,235.2,Fog,First,Non-refundable,International,1,3,8.488927627360672,8.025765791092875,Sunday,0,19,No,2035.34
FLT00026,2023-02-18,Mumbai to Dubai,Sunshine Air,Boeing 777,462,8,192.6,Fog,Business,Refundable,Domestic,1,2,7.370489604893076,2.9146342355252495,Saturday,0,69,No,1564.34
FLT00027,2024-03-16,New York to London,BlueJet Airlines,Boeing 787,112,7,220.79999999999998,Rain,Business,Non-refundable,International,1,2,7.142790144945234,7.07815300168536,Saturday,0,49,No,664.84
FLT00028,2023-01-21,New York to London,SkyTrack Airways,Airbus A380,846,15,228.6,Fog,Business,Refundable,Domestic,0,4,9.6323431558996,7.865529802279903,Saturday,0,1,Yes,2602.19
FLT00029,2022-07-11,Toronto to Vancouver,Sunshine Air,Airbus A380,372,5,234.0,Snow,First,Refundable,International,0,0,9.002981569382069,8.126250703066674,Monday,0,0,Yes,1426.35
FLT00030,2024-08-13,Berlin to Madrid,BlueJet Airlines,Boeing 777,340,15,94.8,Clear,Economy,Non-refundable,International,0,1,7.516218991799427,6.40139764825877,Tuesday,0,5,Yes,1269.59
FLT00031,2022-10-04,Toronto to Vancouver,Sunshine Air,Boeing 737,785,5,193.2,Snow,Economy,Non-refundable,Regional,1,0,7.579708980517182,6.387723552940299,Tuesday,0,19,No,2383.66
FLT00032,2022-06-10,Singapore to Bangkok,Sunshine Air,Airbus A380,90,13,130.2,Clear,First,Refundable,Domestic,1,0,9.22363430510976,10.651358092185331,Friday,0,7,Yes,642.51
FLT00033,2023-04-05,Paris to Rome,SkyTrack Airways,Airbus A380,396,20,137.4,Snow,Economy,Non-refundable,Domestic,0,1,7.313576143060298,,Wednesday,0,0,Yes,1606.54
FLT00034,2022-11-10,Mexico City to Lima,SkyTrack Airways,Boeing 777,242,0,64.2,Snow,First,Non-refundable,International,0,0,8.51069599617289,7.6629663698397605,Thursday,0,37,No,1009.05
FLT00035,2022-01-22,Mumbai to Dubai,BlueJet Airlines,Boeing 777,82,8,76.8,Rain,Business,Non-refundable,Regional,1,3,8.076527323437386,7.808536954249773,Saturday,0,0,Yes,756.3
FLT00036,2022-09-10,Paris to Rome,BlueJet Airlines,Boeing 737,603,23,66.0,Snow,Economy,Non-refundable,Regional,0,3,7.595073138325306,3.2344880711477186,Saturday,0,53,No,1928.29
FLT00037,2024-01-18,Toronto to Vancouver,Sunshine Air,Boeing 777,505,12,102.0,Fog,First,Refundable,Domestic,1,1,7.001674351518519,6.763931556752059,Thursday,0,42,No,1808.09
FLT00038,2024-05-06,Berlin to Madrid,Global Wings,Boeing 787,133,18,153.6,Clear,Business,Refundable,Regional,0,1,9.319369715461283,7.641362144364827,Monday,0,32,No,968.92
FLT00039,2023-07-15,Toronto to Vancouver,Global Wings,Boeing 787,69,16,49.8,Snow,Business,Refundable,Domestic,0,2,8.977520876426912,8.194101509361595,Saturday,0,37,No,783.57
FLT00040,2023-04-20,Paris to Rome,Sunshine Air,Airbus A320,543,10,71.39999999999999,Fog,Economy,Non-refundable,Domestic,0,2,9.565349510832755,3.804861033655984,Thursday,0,11,Yes,1828.07
FLT00041,2022-02-28,Singapore to Bangkok,BlueJet Airlines,Boeing 737,515,7,39.6,Clear,Economy,Non-refundable,Domestic,0,0,7.17432655393255,4.579909156399504,Monday,0,19,No,1814.71
FLT00042,2023-05-26,New York to London,Sunshine Air,Boeing 777,625,22,41.4,Fog,Economy,Non-refundable,Domestic,0,0,8.245070287885296,5.007079076581308,Friday,0,64,No,2018.25
FLT00043,2023-11-13,Chicago to Los Angeles,Global Wings,Boeing 737,623,4,218.4,Fog,Business,Non-refundable,Domestic,0,1,8.30619130307227,7.798109174048067,Monday,0,15,Yes,2151.61
FLT00044,2023-04-21,Chicago to Los Angeles,Sunshine Air,Airbus A320,719,9,70.8,Fog,Business,Non-refundable,Regional,1,0,8.503577600820917,6.898489790843251,Friday,0,31,No,2289.92
FLT00045,2023-12-01,New York to London,BlueJet Airlines,Boeing 777,219,6,158.4,Fog,Economy,Non-refundable,International,0,4,6.9525122002213395,6.83152660315923,Friday,1,35,No,1183.68
FLT00046,2024-09-02,Chicago to Los Angeles,Global Wings,Airbus A320,73,9,126.0,Rain,First,Refundable,Domestic,1,3,8.675953937937647,5.210129623764012,Monday,0,23,No,586.85
FLT00047,2024-02-22,San Francisco to Tokyo,BlueJet Airlines,Airbus A380,237,3,90.6,Rain,Economy,Refundable,International,0,0,9.482801733716888,4.606293956703804,Thursday,0,13,Yes,1012.64
FLT00048,2022-07-09,Chicago to Los Angeles,Sunshine Air,Boeing 787,471,8,153.0,Fog,Economy,Non-refundable,Regional,1,0,7.802444157546399,6.450646811563845,Saturday,0,0,Yes,1741.15
FLT00049,2024-08-15,Berlin to Madrid,Global Wings,Airbus A380,112,13,116.39999999999999,Clear,Economy,Non-refundable,International,0,2,6.82007955464852,6.967545208839839,Thursday,0,44,No,823.6
FLT00050,2023-11-18,Mumbai to Dubai,BlueJet Airlines,Boeing 777,467,1,63.599999999999994,Fog,Business,Non-refundable,International,0,4,6.2732436454204334,2.4924116310089897,Saturday,0,52,No,1850.05
FLT00051,2024-08-15,Mumbai to Dubai,Sunshine Air,Boeing 787,81,8,79.2,Fog,First,Refundable,International,0,0,7.360420025934983,7.661540568199871,Thursday,0,22,No,676.83
FLT00052,2023-07-17,Chicago to Los Angeles,BlueJet Airlines,Boeing 737,89,20,190.79999999999998,Rain,Business,Non-refundable,Regional,0,3,7.467376785446837,4.19638090360724,Monday,0,57,No,667.15
FLT00053,2024-05-25,Chicago to Los Angeles,Sunshine Air,Airbus A380,762,0,141.6,Clear,Business,Refundable,International,1,0,8.878148874312682,8.295293273122311,Saturday,0,31,No,2347.56
FLT00054,2023-07-21,Mexico City to Lima,SkyTrack Airways,Boeing 787,319,22,33.0,Snow,Economy,Refundable,Domestic,0,1,7.836400787972918,4.772977932097264,Friday,0,0,Yes,1268.87
FLT00055,2022-09-01,Berlin to Madrid,Sunshine Air,Boeing 737,264,9,239.39999999999998,Fog,First,Non-refundable,Regional,0,4,8.86343316720794,7.29375085533113,Thursday,0,0,Yes,1196.21
FLT00056,2024-04-11,Berlin to Madrid,Global Wings,Boeing 737,118,9,95.39999999999999,Fog,Economy,Refundable,Domestic,1,0,8.33877209751912,,Thursday,0,5,Yes,630.27
FLT00057,2023-05-20,San Francisco to Tokyo,Global Wings,Boeing 737,530,19,112.2,Rain,First,Refundable,Regional,0,4,7.845737121853316,8.59686446207916,Saturday,0,1,Yes,1701.69
FLT00058,2022-05-11,Singapore to Bangkok,BlueJet Airlines,Boeing 737,835,21,60.0,Fog,Economy,Refundable,Domestic,1,0,8.091077243583943,9.011103314596197,Wednesday,0,22,No,2610.12
FLT00059,2023-04-30,San Francisco to Tokyo,Global Wings,Airbus A320,525,2,60.0,Fog,First,Non-refundable,International,0,3,7.5038871891876315,6.497531242387931,Sunday,0,0,Yes,1849.63
FLT00060,2024-03-29,Mumbai to Dubai,BlueJet Airlines,Airbus A380,71,5,81.6,Fog,Economy,Non-refundable,Regional,1,3,7.4987326795455544,6.5977925509225965,Friday,0,71,No,645.18
FLT00061,2023-10-09,Mexico City to Lima,SkyTrack Airways,Airbus A320,690,5,70.2,Clear,Business,Non-refundable,Domestic,0,4,7.346988163551552,3.759718763281236,Monday,0,0,Yes,2270.53
FLT00062,2022-01-21,Berlin to Madrid,Global Wings,Airbus A320,349,20,79.8,Fog,First,Non-refundable,Domestic,1,2,8.852941575429684,8.876494433654287,Friday,0,17,No,1220.47
FLT00063,2024-04-20,Paris to Rome,Sunshine Air,Airbus A380,819,1,54.6,Clear,Business,Refundable,Domestic,0,2,7.533138035156521,6.669182620136813,Saturday,0,0,Yes,2473.06
FLT00064,2022-06-16,Berlin to Madrid,Global Wings,Boeing 777,413,17,160.79999999999998,Snow,First,Refundable,Regional,0,1,9.994477459950616,7.666525722937927,Thursday,0,0,Yes,1455.86
FLT00065,2022-10-01,Toronto to Vancouver,Sunshine Air,Boeing 737,698,22,63.599999999999994,Snow,First,Non-refundable,International,0,2,8.731017784281235,4.61733565739338,Saturday,0,37,No,2157.23
FLT00066,2023-01-23,Singapore to Bangkok,BlueJet Airlines,Boeing 737,134,1,165.0,Snow,First,Refundable,International,0,4,8.031520911579166,6.574399599861304,Monday,0,0,Yes,918.17
FLT00067,2023-08-24,Chicago to Los Angeles,Sunshine Air,Airbus A320,775,11,147.0,Fog,First,Non-refundable,International,0,2,7.858614316867937,4.7235924844004265,Thursday,0,21,No,2532.57
FLT00068,2022-11-12,New York to London,Global Wings,Boeing 777,620,21,178.2,Rain,Economy,Non-refundable,Domestic,0,1,7.777573063323065,7.582885895001887,Saturday,0,0,Yes,1825.19
FLT00069,2022-01-14,Mumbai to Dubai,Global Wings,Boeing 777,650,4,129.0,Fog,First,Refundable,Regional,0,0,9.301343683539997,7.207952204269437,Friday,0,0,Yes,1927.32
FLT00070,2022-08-30,Chicago to Los Angeles,Sunshine Air,Airbus A380,500,19,66.6,Clear,Business,Non-refundable,International,1,2,7.8821809098733215,8.190956895513517,Tuesday,0,13,Yes,1762.73
FLT00071,2024-02-16,Chicago to Los Angeles,BlueJet Airlines,Airbus A320,300,6,187.2,Fog,First,Non-refundable,Domestic,0,4,8.685556529458607,6.070140924616197,Friday,0,29,No,1190.32
FLT00072,2022-12-12,Mexico City to Lima,SkyTrack Airways,Boeing 787,213,23,96.6,Rain,First,Refundable,Domestic,1,4,7.015204664040541,8.165358377090563,Monday,1,2,Yes,1019.04
FLT00073,2023-07-19,Toronto to Vancouver,BlueJet Airlines,Airbus A320,845,15,181.2,Clear,First,Refundable,Domestic,0,1,6.226862878513788,7.282043684504389,Wednesday,0,59,No,2644.68
FLT00074,2024-06-16,Mumbai to Dubai,BlueJet Airlines,Airbus A380,155,19,148.79999999999998,Clear,First,Refundable,Regional,0,1,7.534923004107705,5.550211892768872,Sunday,0,28,No,1065.06
FLT00075,2022-12-06,Berlin to Madrid,SkyTrack Airways,Boeing 787,785,0,136.2,Clear,Economy,Refundable,Regional,1,3,6.506725600183778,,Tuesday,1,41,No,2455.09
FLT00076,2022-04-02,Mumbai to Dubai,BlueJet Airlines,Airbus A380,353,0,45.0,Snow,Economy,Non-refundable,Domestic,1,3,8.803383976888723,5.8288062969636885,Saturday,0,0,Yes,1468.21
FLT00077,2023-01-02,Mexico City to Lima,Global Wings,Airbus A320,268,16,177.0,Fog,Economy,Non-refundable,Domestic,0,3,7.132496295602371,8.062012745649211,Monday,0,1,Yes,1126.62
FLT00078,2024-08-13,Beijing to Sydney,SkyTrack Airways,Airbus A380,402,0,40.8,Fog,First,Refundable,Domestic,0,0,9.39928898376803,8.589496923179173,Tuesday,0,9,Yes,1550.7
FLT00079,2023-03-31,Chicago to Los Angeles,BlueJet Airlines,Boeing 777,147,20,188.4,Clear,Economy,Non-refundable,Regional,0,4,9.103923996267948,6.337510028125085,Friday,0,9,Yes,938.3
FLT00080,2023-03-04,Chicago to Los Angeles,SkyTrack Airways,Airbus A320,877,19,219.6,Fog,First,Refundable,Domestic,0,3,7.528769437683857,8.697851687617764,Saturday,0,6,Yes,2640.92
FLT00081,2023-05-24,Paris to Rome,Global Wings,Airbus A380,835,12,41.4,Rain,Business,Non-refundable,Domestic,0,4,8.451375718389153,8.030291238623485,Wednesday,0,0,Yes,2519.77
FLT00082,2024-02-15,Chicago to Los Angeles,Global Wings,Boeing 777,449,8,93.0,Clear,Economy,Non-refundable,Regional,0,1,7.4954392352327615,5.7117924532138025,Thursday,0,43,No,1574.74
FLT00083,2024-07-31,Paris to Rome,Global Wings,Boeing 737,384,14,171.6,Snow,Economy,Non-refundable,Regional,0,0,9.174593846021134,7.704710424560275,Wednesday,0,0,Yes,1546.96
FLT00084,2022-02-04,Toronto to Vancouver,BlueJet Airlines,Boeing 787,891,2,213.0,Clear,First,Refundable,Regional,0,1,7.444526701423527,8.488027539498916,Friday,0,38,No,2800.13
FLT00085,2022-07-25,Mumbai to Dubai,SkyTrack Airways,Airbus A380,216,13,177.0,Snow,Economy,Refundable,Domestic,1,4,6.218805893489537,6.070760509783401,Monday,0,44,No,790.75
FLT00086,2022-03-22,Chicago to Los Angeles,BlueJet Airlines,Airbus A380,727,22,78.0,Clear,Economy,Non-refundable,Regional,1,3,7.601207576549516,7.12762633286056,Tuesday,0,11,Yes,2275.36
FLT00087,2024-07-20,Mexico City to Lima,Sunshine Air,Airbus A320,710,10,119.39999999999999,Snow,Business,Refundable,Regional,0,1,6.478587415711127,4.8223214705815325,Saturday,0,96,No,2318.05
FLT00088,2023-07-16,Paris to Rome,SkyTrack Airways,Airbus A320,692,23,35.4,Clear,First,Non-refundable,Domestic,0,2,9.523476648481916,7.419408846226135,Sunday,0,20,No,2385.71
FLT00089,2024-05-21,New York to London,Global Wings,Boeing 737,636,21,222.0,Rain,First,Non-refundable,Domestic,0,0,9.423476000863035,7.44789005645026,Tuesday,0,11,Yes,2080.01
FLT00090,2023-01-23,New York to London,Sunshine Air,Boeing 787,678,11,163.79999999999998,Clear,Economy,Refundable,Regional,1,4,7.3042184320065715,7.304588737008455,Monday,0,12,Yes,2232.45
FLT00091,2022-01-02,San Francisco to Tokyo,Sunshine Air,Airbus A320,718,12,187.79999999999998,Snow,Economy,Non-refundable,Regional,0,3,8.129827821472315,4.855565192102971,Sunday,0,52,No,2305.21
FLT00092,2023-01-25,Berlin to Madrid,Global Wings,Airbus A380,196,12,118.8,Clear,Business,Non-refundable,International,0,1,9.570476419044363,5.717640311207655,Wednesday,0,12,Yes,937.72
FLT00093,2023-07-20,Singapore to Bangkok,SkyTrack Airways,Airbus A320,733,0,196.2,Snow,First,Non-refundable,Domestic,0,0,6.246377839105776,5.899216392547692,Thursday,0,39,No,2198.05
FLT00094,2022-04-16,Beijing to Sydney,Global Wings,Airbus A320,487,23,193.79999999999998,Rain,First,Refundable,Regional,0,3,9.162837021012479,8.808015068866148,Saturday,0,0,Yes,1592.27
FLT00095,2024-02-11,New York to London,Global Wings,Boeing 787,511,9,145.79999999999998,Rain,Economy,Non-refundable,Regional,0,1,7.898000486833471,6.828537728182945,Sunday,0,24,No,1856.22
FLT00096,2024-04-01,Mumbai to Dubai,Global Wings,Boeing 737,671,2,132.6,Clear,Economy,Refundable,Domestic,1,4,8.060708588849334,3.8601873088063257,Monday,0,49,No,2189.54
FLT00097,2023-04-22,Mexico City to Lima,Sunshine Air,Boeing 787,878,23,188.4,Snow,First,Refundable,Regional,0,2,8.45676782071537,5.335503796176438,Saturday,0,18,No,2621.26
FLT00098,2023-12-04,Paris to Rome,SkyTrack Airways,Airbus A380,200,3,215.4,Clear,Business,Refundable,International,0,2,9.953996483367105,7.551079866226008,Monday,1,0,Yes,857.29
FLT00099,2023-02-06,Mexico City to Lima,Sunshine Air,Airbus A380,142,15,45.0,Rain,Business,Non-refundable,Regional,0,4,7.646446218893604,4.054885233430859,Monday,0,11,Yes,932.34
FLT00100,2023-12-31,Toronto to Vancouver,BlueJet Airlines,Boeing 777,236,7,239.39999999999998,Clear,First,Non-refundable,International,0,0,9.358428945607795,8.350835156091506,Sunday,1,0,Yes,990.51
FLT00101,2023-07-10,New York to London,Sunshine Air,Boeing 737,257,15,45.0,Rain,Economy,Refundable,International,0,4,6.763919664939184,4.820886004539515,Monday,0,47,No,1210.11
FLT00102,2022-06-11,Singapore to Bangkok,Sunshine Air,Boeing 777,683,16,49.8,Rain,First,Refundable,Regional,0,1,7.186823932650518,6.460410504938936,Saturday,0,56,No,2194.41
FLT00103,2022-07-21,Berlin to Madrid,SkyTrack Airways,Boeing 737,627,18,187.79999999999998,Rain,Economy,Refundable,Domestic,0,0,9.606142621902235,9.077166167298008,Thursday,0,16,No,2063.24
FLT00104,2024-08-15,Paris to Rome,Global Wings,Airbus A320,750,21,112.2,Clear,Business,Non-refundable,Regional,1,2,7.998408888042458,,Thursday,0,65,No,2550.05
FLT00105,2024-09-22,Chicago to Los Angeles,Sunshine Air,Airbus A320,480,14,211.79999999999998,Snow,Economy,Refundable,Domestic,1,1,7.107463768850677,4.998974379257014,Sunday,0,42,No,1490.17
FLT00106,2022-09-27,Berlin to Madrid,Sunshine Air,Boeing 787,460,15,139.2,Rain,First,Non-refundable,Domestic,0,3,8.45810784927585,4.11876383952324,Tuesday,0,20,No,1562.15
FLT00107,2024-05-12,San Francisco to Tokyo,SkyTrack Airways,Boeing 737,757,14,174.6,Clear,First,Refundable,Regional,1,3,5.949076250508325,3.9730211501074972,Sunday,0,60,No,2552.4
FLT00108,2024-03-26,Beijing to Sydney,BlueJet Airlines,Airbus A320,530,1,61.8,Rain,Business,Refundable,Domestic,1,3,6.979184749862909,3.753250012560987,Tuesday,0,41,No,1918.48
FLT00109,2022-09-28,Beijing to Sydney,SkyTrack Airways,Airbus A380,277,10,130.2,Fog,Business,Non-refundable,Domestic,0,2,8.055171468810844,6.329974801767825,Wednesday,0,55,No,1168.38
FLT00110,2023-04-01,Mexico City to Lima,Sunshine Air,Boeing 777,887,0,100.8,Snow,Economy,Refundable,International,0,4,7.490280708764975,2.8135463731386565,Saturday,0,61,No,2904.2
FLT00111,2023-04-07,Toronto to Vancouver,Sunshine Air,Boeing 787,788,14,115.19999999999999,Snow,First,Refundable,Regional,0,0,8.169018558930317,10.225221356015103,Friday,0,12,Yes,2570.37
FLT00112,2023-12-28,Chicago to Los Angeles,BlueJet Airlines,Airbus A320,691,18,78.0,Rain,Economy,Refundable,Regional,0,2,8.272628180047889,2.7835552751270196,Thursday,1,40,No,2175.21
FLT00113,2022-09-09,Paris to Rome,Sunshine Air,Boeing 737,234,3,176.4,Snow,Business,Refundable,Regional,1,1,8.195376672459478,8.76462092472089,Friday,0,0,Yes,977.69
FLT00114,2023-12-03,San Francisco to Tokyo,BlueJet Airlines,Airbus A320,82,10,66.6,Clear,Business,Refundable,International,0,1,7.078468433597239,9.852724001327442,Sunday,1,0,Yes,844.93
FLT00115,2022-10-23,Mexico City to Lima,Global Wings,Boeing 737,784,4,57.0,Fog,Economy,Refundable,International,0,3,7.623079870546701,3.212526932383426,Sunday,0,35,No,2378.66
FLT00116,2023-12-26,Toronto to Vancouver,BlueJet Airlines,Boeing 777,294,2,81.6,Snow,First,Non-refundable,International,0,0,9.106387576879785,7.212161151427909,Tuesday,1,30,No,1259.98
FLT00117,2023-12-21,Chicago to Los Angeles,SkyTrack Airways,Boeing 737,72,12,88.8,Fog,Business,Refundable,Regional,0,3,9.569845384942363,7.509449455851371,Thursday,1,0,Yes,829.68
FLT00118,2024-01-19,Berlin to Madrid,BlueJet Airlines,Airbus A320,160,9,206.4,Fog,Business,Refundable,Regional,0,1,8.066991556228539,7.899023329949173,Friday,0,8,Yes,918.05
FLT00119,2022-12-04,Berlin to Madrid,BlueJet Airlines,Boeing 777,595,10,61.199999999999996,Fog,Economy,Non-refundable,International,0,1,6.466664322281148,6.330135652828353,Sunday,1,30,No,1988.53
FLT00120,2024-05-28,San Francisco to Tokyo,BlueJet Airlines,Airbus A320,582,17,144.6,Fog,Business,Non-refundable,Domestic,0,4,8.528921817860946,4.500447301938692,Tuesday,0,19,No,1787.99
FLT00121,2022-02-22,Singapore to Bangkok,SkyTrack Airways,Boeing 737,844,1,77.39999999999999,Snow,Business,Refundable,Domestic,1,4,8.963583283348594,7.207666434331173,Tuesday,0,13,Yes,2709.73
FLT00122,2024-03-02,Paris to Rome,SkyTrack Airways,Airbus A380,511,6,39.0,Fog,Business,Non-refundable,Regional,1,4,7.882730728252825,7.266276385341682,Saturday,0,0,Yes,1595.82
FLT00123,2024-07-10,Singapore to Bangkok,BlueJet Airlines,Boeing 787,490,8,225.0,Clear,Economy,Non-refundable,International,1,3,7.829991998858723,3.8140014272187575,Wednesday,0,30,No,1860.27
FLT00124,2022-08-05,Paris to Rome,SkyTrack Airways,Boeing 787,852,9,145.79999999999998,Fog,Economy,Refundable,International,1,0,9.695570385743126,9.853786989861815,Friday,0,14,Yes,2461.66
FLT00125,2024-02-03,New York to London,Sunshine Air,Boeing 787,665,17,114.0,Clear,First,Refundable,Regional,1,4,7.029029038944796,,Saturday,0,85,No,2079.64
FLT00126,2022-07-07,Mumbai to Dubai,Sunshine Air,Boeing 787,772,22,94.2,Fog,Business,Refundable,Regional,0,2,6.813224716984699,5.060641338512841,Thursday,0,62,No,2546.84
FLT00127,2023-01-15,New York to London,SkyTrack Airways,Boeing 777,592,6,211.2,Snow,Economy,Refundable,International,0,4,8.402466629920399,6.441183387937348,Sunday,0,24,No,2124.73
FLT00128,2023-05-08,Mexico City to Lima,BlueJet Airlines,Airbus A380,782,6,188.4,Rain,First,Non-refundable,Domestic,0,3,7.5400669205922535,7.702067553144884,Monday,0,0,Yes,2464.45
FLT00129,2022-02-10,Toronto to Vancouver,BlueJet Airlines,Airbus A320,711,2,203.4,Fog,Business,Non-refundable,Domestic,0,0,5.75775711982374,2.8057297663652094,Thursday,0,92,No,2241.37
FLT00130,2022-06-06,Toronto to Vancouver,SkyTrack Airways,Boeing 787,352,11,154.79999999999998,Clear,Economy,Non-refundable,International,0,4,8.89477414414205,4.0662802022846325,Monday,0,44,No,1395.32
FLT00131,2022-01-15,Mumbai to Dubai,Sunshine Air,Boeing 777,869,6,128.4,Rain,First,Refundable,International,1,0,7.657600123507993,10.302982464470068,Saturday,0,3,Yes,2476.11
FLT00132,2024-03-23,New York to London,BlueJet Airlines,Boeing 777,160,16,234.6,Clear,Business,Refundable,Domestic,0,2,7.012368137647233,6.466567267551124,Saturday,0,46,No,1009.19
FLT00133,2022-03-06,Toronto to Vancouver,SkyTrack Airways,Airbus A380,561,0,221.4,Clear,Economy,Non-refundable,Regional,0,1,7.771331725909261,7.9205102873804005,Sunday,0,43,No,1840.46
FLT00134,2024-05-06,Mexico City to Lima,SkyTrack Airways,Airbus A380,363,4,120.6,Fog,First,Refundable,International,0,0,9.69907786083282,,Monday,0,0,Yes,1382.09
FLT00135,2024-04-18,New York to London,Sunshine Air,Boeing 737,599,15,203.4,Rain,Business,Refundable,Domestic,0,4,9.344346669157042,4.806094783202009,Thursday,0,0,Yes,2006.0
FLT00136,2023-06-05,Beijing to Sydney,BlueJet Airlines,Boeing 737,612,14,190.2,Fog,Business,Refundable,Domestic,1,3,6.291351762009625,5.845782281412127,Monday,0,42,No,2057.75
